"gene_symbol","gene_id","chromosome","gene_entrez_id","gene_name"
"1700001L19Rik",500732348,"13",69315,"RIKEN cDNA 1700001L19 gene"
"1700001O22Rik",500702921,"2",73598,"RIKEN cDNA 1700001O22 gene"
"1700001P01Rik",500728200,"11",72215,"RIKEN cDNA 1700001P01 gene"
"1700003C15Rik",500710828,"5",69345,"RIKEN cDNA 1700003C15 gene"
"1700003D09Rik",500728224,"11",69338,"RIKEN cDNA 1700003D09 gene"
"1700003E16Rik",500714581,"6",71837,"RIKEN cDNA 1700003E16 gene"
"1700003E24Rik",500744059,"X",100042663,"RIKEN cDNA 1700003E24 gene"
"1700003F12Rik",500705156,"2",75480,"RIKEN cDNA 1700003F12 gene"
"1700003G13Rik",500722563,"9",72229,"RIKEN cDNA 1700003G13 gene"
"1700003G18Rik",500718845,"7",69350,"RIKEN cDNA 1700003G18 gene"
"1700003H04Rik",500707649,"3",384775,"RIKEN cDNA 1700003H04 gene"
"1700003I22Rik",500700296,"1",69356,"RIKEN cDNA 1700003I22 gene"
"1700003L19Rik",500736986,"16",75493,"RIKEN cDNA 1700003L19 gene"
"1700003M02Rik",500708388,"4",69329,"RIKEN cDNA 1700003M02 gene"
"1700003M07Rik",500709913,"4",72225,"RIKEN cDNA 1700003M07 gene"
"1700003O11Rik",500741326,"18",75632,"RIKEN cDNA 1700003O11 gene"
"1700003P14Rik",500733009,"13",75890,"RIKEN cDNA 1700003P14 gene"
"1700006A11Rik",500707648,"3",71824,"RIKEN cDNA 1700006A11 gene"
"1700006E09Rik",500728428,"11",75437,"RIKEN cDNA 1700006E09 gene"
"1700006F04Rik",500735121,"14",75432,"RIKEN cDNA 1700006F04 gene"
"1700006H20Rik",500707793,"3",72241,"RIKEN cDNA 1700006H20 gene"
"1700006H21Rik",500732864,"13",72257,"RIKEN cDNA 1700006H21 gene"
"1700007B14Rik",500720706,"8",71831,"RIKEN cDNA 1700007B14 gene"
"1700007E05Rik",500737374,"16",114672,"RIKEN cDNA 1700007E05 gene"
"1700007F19Rik",500706434,"3",67850,"RIKEN cDNA 1700007F19 gene"
"1700007G11Rik",500711936,"5",75784,"RIKEN cDNA 1700007G11 gene"
"1700007J10Rik",500727113,"11",69320,"RIKEN cDNA 1700007J10 gene"
"1700007K09Rik",500719202,"7",69318,"RIKEN cDNA 1700007K09 gene"
"1700007K13Rik",500702839,"2",69327,"RIKEN cDNA 1700007K13 gene"
"1700007L15Rik",500737435,"16",100502742,"RIKEN cDNA 1700007L15 gene"
"1700007P06Rik",500702208,"1",69308,"RIKEN cDNA 1700007P06 gene"
"1700008C04Rik",500729574,"12",75494,"RIKEN cDNA 1700008C04 gene"
"1700008F21Rik",500721768,"8",75453,"RIKEN cDNA 1700008F21 gene"
"1700008I05Rik",500744568,"X",71841,"RIKEN cDNA 1700008I05 gene"
"1700008J07Rik",500719097,"7",629159,"RIKEN cDNA 1700008J07 gene"
"1700008K24Rik",500739642,"17",69311,"RIKEN cDNA 1700008K24 gene"
"1700008O03Rik",500717382,"7",69349,"RIKEN cDNA 1700008O03 gene"
"1700008P02Rik",500705884,"3",69347,"RIKEN cDNA 1700008P02 gene"
"1700009C05Rik",500714538,"6",74220,"RIKEN cDNA 1700009C05 gene"
"1700009J07Rik",500725094,"10",75188,"RIKEN cDNA 1700009J07 gene"
"1700009N14Rik",500708426,"4",75471,"RIKEN cDNA 1700009N14 gene"
"1700010B08Rik",500705636,"2",75485,"RIKEN cDNA 1700010B08 gene"
"1700010D01Rik",500744117,"X",76386,"RIKEN cDNA 1700010D01 gene"
"1700010H22Rik",500711939,"5",75500,"RIKEN cDNA 1700010H22 gene"
"1700010I02Rik",500705895,"3",75476,"RIKEN cDNA 1700010I02 gene"
"1700010I14Rik",500738325,"17",66931,"RIKEN cDNA 1700010I14 gene"
"1700010J16Rik",500725747,"10",69355,"RIKEN cDNA 1700010J16 gene"
"1700010K23Rik",500737827,"16",75501,"RIKEN cDNA 1700010K23 gene"
"1700010L04Rik",500718047,"7",619808,"RIKEN cDNA 1700010L04 gene"
"1700010N08Rik",500717195,"7",545951,"RIKEN cDNA 1700010N08 gene"
"1700011A15Rik",500736713,"15",66322,"RIKEN cDNA 1700011A15 gene"
"1700011B04Rik",500731597,"13",100503727,"RIKEN cDNA 1700011B04 gene"
"1700011C11Rik",500717881,"7",75451,"RIKEN cDNA 1700011C11 gene"
"1700011E24Rik",500740184,"17",75467,"RIKEN cDNA 1700011E24 gene"
"1700011H14Rik",500733876,"14",67082,"RIKEN cDNA 1700011H14 gene"
"1700011I03Rik",500741034,"18",75444,"RIKEN cDNA 1700011I03 gene"
"1700011L22Rik",500720743,"8",67687,"RIKEN cDNA 1700011L22 gene"
"1700011M02Rik",500744242,"X",75443,"RIKEN cDNA 1700011M02 gene"
"1700012A03Rik",500713554,"6",76382,"RIKEN cDNA 1700012A03 gene"
"1700012B07Rik",500728650,"11",69324,"RIKEN cDNA 1700012B07 gene"
"1700012B09Rik",500721881,"9",69325,"RIKEN cDNA 1700012B09 gene"
"1700012C14Rik",500713515,"6",69337,"RIKEN cDNA 1700012C14 gene"
"1700012D01Rik",500726015,"10",72243,"RIKEN cDNA 1700012D01 gene"
"1700012D14Rik",500718790,"7",75479,"RIKEN cDNA 1700012D14 gene"
"1700012D16Rik",500708025,"3",75489,"RIKEN cDNA 1700012D16 gene"
"1700012H19Rik",500728676,"11",76393,"RIKEN cDNA 1700012H19 gene"
"1700012I11Rik",500735819,"15",69334,"RIKEN cDNA 1700012I11 gene"
"1700012J15Rik",500713299,"6",75487,"RIKEN cDNA 1700012J15 gene"
"1700012L04Rik",500742964,"X",76383,"RIKEN cDNA 1700012L04 gene"
"1700012P22Rik",500710356,"4",69364,"RIKEN cDNA 1700012P22 gene"
"1700013D24Rik",500715253,"6",76921,"RIKEN cDNA 1700013D24 gene"
"1700013F07Rik",500707462,"3",75504,"RIKEN cDNA 1700013F07 gene"
"1700013G24Rik",500710150,"4",69380,"RIKEN cDNA 1700013G24 gene"
"1700013H16Rik",500743534,"X",75514,"RIKEN cDNA 1700013H16 gene"
"1700013N06Rik",500730459,"12",75634,"RIKEN cDNA 1700013N06 gene"
"1700015C15Rik",500732208,"13",75532,"RIKEN cDNA 1700015C15 gene"
"1700015E13Rik",500701839,"1",76925,"RIKEN cDNA 1700015E13 gene"
"1700015F17Rik",500710734,"5",381716,"RIKEN cDNA 1700015F17 gene"
"1700015G11Rik",500717638,"7",100503036,"RIKEN cDNA 1700015G11 gene"
"1700016B01Rik",500712253,"5",75640,"RIKEN cDNA 1700016B01 gene"
"1700016C15Rik",500702026,"1",69428,"RIKEN cDNA 1700016C15 gene"
"1700016C19Rik",500712285,"5",74228,"RIKEN cDNA 1700016C19 gene"
"1700016D06Rik",500719685,"8",76413,"RIKEN cDNA 1700016D06 gene"
"1700016G14Rik",500731430,"13",666145,"RIKEN cDNA 1700016G14 gene"
"1700016G22Rik",500731040,"13",71867,"RIKEN cDNA 1700016G22 gene"
"1700016H13Rik",500712020,"5",74218,"RIKEN cDNA 1700016H13 gene"
"1700016J18Rik",500724570,"10",75561,"RIKEN cDNA 1700016J18 gene"
"1700016K19Rik",500727641,"11",74230,"RIKEN cDNA 1700016K19 gene"
"1700016L04Rik",500724208,"10",69412,"RIKEN cDNA 1700016L04 gene"
"1700016L21Rik",500700673,"1",72208,"RIKEN cDNA 1700016L21 gene"
"1700016P04Rik",500713343,"6",69413,"RIKEN cDNA 1700016P04 gene"
"1700017B05Rik",500722789,"9",74211,"RIKEN cDNA 1700017B05 gene"
"1700017D01Rik",500741879,"19",69369,"RIKEN cDNA 1700017D01 gene"
"1700017G19Rik",500706261,"3",100040882,"RIKEN cDNA 1700017G19 gene"
"1700017J07Rik",500705538,"2",75508,"RIKEN cDNA 1700017J07 gene"
"1700017L05Rik",500711675,"5",69370,"RIKEN cDNA 1700017L05 gene"
"1700017M07Rik",500706172,"3",76398,"RIKEN cDNA 1700017M07 gene"
"1700017N19Rik",500725640,"10",66605,"RIKEN cDNA 1700017N19 gene"
"1700018A04Rik",500731521,"13",71307,"RIKEN cDNA 1700018A04 gene"
"1700018A23Rik",500715347,"6",72231,"RIKEN cDNA 1700018A23 gene"
"1700018B08Rik",500721539,"8",76405,"RIKEN cDNA 1700018B08 gene"
"1700018B24Rik",500706306,"3",66332,"RIKEN cDNA 1700018B24 gene"
"1700018C11Rik",500708915,"4",75524,"RIKEN cDNA 1700018C11 gene"
"1700018F24Rik",500713060,"5",69396,"RIKEN cDNA 1700018F24 gene"
"1700018G05Rik",500744243,"X",69388,"RIKEN cDNA 1700018G05 gene"
"1700018L02Rik",500742201,"19",67329,"RIKEN cDNA 1700018L02 gene"
"1700019A02Rik",500700254,"1",69397,"RIKEN cDNA 1700019A02 gene"
"1700019B03Rik",500719565,"8",76406,"RIKEN cDNA 1700019B03 gene"
"1700019B21Rik",500743661,"X",75545,"RIKEN cDNA 1700019B21 gene"
"1700019C18Rik",500731598,"13",75543,"RIKEN cDNA 1700019C18 gene"
"1700019D03Rik",500700252,"1",67080,"RIKEN cDNA 1700019D03 gene"
"1700019E08Rik",500703203,"2",69405,"RIKEN cDNA 1700019E08 gene"
"1700019F05Rik",500711604,"5",69402,"RIKEN cDNA 1700019F05 gene"
"1700019G17Rik",500714656,"6",75541,"RIKEN cDNA 1700019G17 gene"
"1700019G24Rik",500713275,"6",72249,"RIKEN cDNA 1700019G24 gene"
"1700019J19Rik",500721862,"9",76412,"RIKEN cDNA 1700019J19 gene"
"1700019L03Rik",500702997,"2",227736,"RIKEN cDNA 1700019L03 gene"
"1700019L22Rik",500720340,"8",75549,"RIKEN cDNA 1700019L22 gene"
"1700019M22Rik",500730259,"12",69423,"RIKEN cDNA 1700019M22 gene"
"1700019N19Rik",500742738,"19",67507,"RIKEN cDNA 1700019N19 gene"
"1700019O17Rik",500700765,"1",71863,"RIKEN cDNA 1700019O17 gene"
"1700019P21Rik",500701425,"1",75546,"RIKEN cDNA 1700019P21 gene"
"1700020A23Rik",500704719,"2",75656,"RIKEN cDNA 1700020A23 gene"
"1700020D05Rik",500741631,"19",75555,"RIKEN cDNA 1700020D05 gene"
"1700020D12Rik",500729338,"12",69437,"RIKEN cDNA 1700020D12 gene"
"1700020D14Rik",500745058,"Y",69438,"RIKEN cDNA 1700020D14 gene"
"1700020G17Rik",500725709,"10",75630,"RIKEN cDNA 1700020G17 gene"
"1700020I14Rik",500704468,"2",66602,"RIKEN cDNA 1700020I14 gene"
"1700020L24Rik",500727854,"11",66330,"RIKEN cDNA 1700020L24 gene"
"1700020M21Rik",500723990,"9",76402,"RIKEN cDNA 1700020M21 gene"
"1700020N01Rik",500724292,"10",67692,"RIKEN cDNA 1700020N01 gene"
"1700020N15Rik",500743726,"X",75509,"RIKEN cDNA 1700020N15 gene"
"1700020N18Rik",500700892,"1",67086,"RIKEN cDNA 1700020N18 gene"
"1700021F02Rik",500712016,"5",75519,"RIKEN cDNA 1700021F02 gene"
"1700021F05Rik",500724596,"10",67851,"RIKEN cDNA 1700021F05 gene"
"1700021F07Rik",500705631,"2",72221,"RIKEN cDNA 1700021F07 gene"
"1700021G15Rik",500725958,"10",73256,"RIKEN cDNA 1700021G15 gene"
"1700021K19Rik",500737423,"16",100502698,"RIKEN cDNA 1700021K19 gene"
"1700021L23Rik",500709749,"4",76410,"RIKEN cDNA 1700021L23 gene"
"1700021N21Rik",500710061,"4",69409,"RIKEN cDNA 1700021N21 gene"
"1700022A21Rik",500710996,"5",72252,"RIKEN cDNA 1700022A21 gene"
"1700022A22Rik",500735622,"15",71120,"RIKEN cDNA 1700022A22 gene"
"1700022E09Rik",500737782,"16",75636,"RIKEN cDNA 1700022E09 gene"
"1700022H01Rik",500724798,"10",75539,"RIKEN cDNA 1700022H01 gene"
"1700022H16Rik",500729092,"12",69420,"RIKEN cDNA 1700022H16 gene"
"1700022I11Rik",500708541,"4",67317,"RIKEN cDNA 1700022I11 gene"
"1700022N22Rik",500738836,"17",69431,"RIKEN cDNA 1700022N22 gene"
"1700023C21Rik",500728652,"11",73257,"RIKEN cDNA 1700023C21 gene"
"1700023E05Rik",500711661,"5",71868,"RIKEN cDNA 1700023E05 gene"
"1700023F02Rik",500724860,"10",69433,"RIKEN cDNA 1700023F02 gene"
"1700023F06Rik",500728496,"11",69441,"RIKEN cDNA 1700023F06 gene"
"1700023G09Rik",500702201,"1",73281,"RIKEN cDNA 1700023G09 gene"
"1700023L04Rik",500713501,"6",76419,"RIKEN cDNA 1700023L04 gene"
"1700024B05Rik",500733697,"14",100503856,"RIKEN cDNA 1700024B05 gene"
"1700024B18Rik",500735183,"14",69393,"RIKEN cDNA 1700024B18 gene"
"1700024F13Rik",500731003,"13",73270,"RIKEN cDNA 1700024F13 gene"
"1700024G13Rik",500733573,"14",67085,"RIKEN cDNA 1700024G13 gene"
"1700024I08Rik",500732194,"13",75522,"RIKEN cDNA 1700024I08 gene"
"1700024N05Rik",500713817,"6",75520,"RIKEN cDNA 1700024N05 gene"
"1700024P04Rik",500732733,"13",69382,"RIKEN cDNA 1700024P04 gene"
"1700024P16Rik",500709308,"4",242594,"RIKEN cDNA 1700024P16 gene"
"1700025B11Rik",500736030,"15",76409,"RIKEN cDNA 1700025B11 gene"
"1700025C18Rik",500705429,"2",72211,"RIKEN cDNA 1700025C18 gene"
"1700025D23Rik",500728693,"11",100041739,"RIKEN cDNA 1700025D23 gene"
"1700025F22Rik",500741881,"19",69416,"RIKEN cDNA 1700025F22 gene"
"1700025F24Rik",500725865,"10",67081,"RIKEN cDNA 1700025F24 gene"
"1700025G04Rik",500701530,"1",69399,"RIKEN cDNA 1700025G04 gene"
"1700025J12Rik",500718950,"7",69407,"RIKEN cDNA 1700025J12 gene"
"1700025K24Rik",500739707,"17",69418,"RIKEN cDNA 1700025K24 gene"
"1700025M24Rik",500711589,"5",72276,"RIKEN cDNA 1700025M24 gene"
"1700025N23Rik",500713648,"6",69986,"RIKEN cDNA 1700025N23 gene"
"1700026D08Rik",500718063,"7",75556,"RIKEN cDNA 1700026D08 gene"
"1700026D11Rik",500704792,"2",70371,"RIKEN cDNA 1700026D11 gene"
"1700026F02Rik",500720600,"8",69419,"RIKEN cDNA 1700026F02 gene"
"1700026J12Rik",500737648,"16",73255,"RIKEN cDNA 1700026J12 gene"
"1700026J14Rik",500713892,"6",69432,"RIKEN cDNA 1700026J14 gene"
"1700026L06Rik",500702848,"2",69987,"RIKEN cDNA 1700026L06 gene"
"1700027A15Rik",500700541,"1",69449,"RIKEN cDNA 1700027A15 gene"
"1700027F06Rik",500715254,"6",72268,"RIKEN cDNA 1700027F06 gene"
"1700027F09Rik",500711487,"5",69999,"RIKEN cDNA 1700027F09 gene"
"1700027H10Rik",500706295,"3",72274,"RIKEN cDNA 1700027H10 gene"
"1700027I24Rik",500722246,"9",75567,"RIKEN cDNA 1700027I24 gene"
"1700027J07Rik",500724604,"10",69443,"RIKEN cDNA 1700027J07 gene"
"1700028B04Rik",500716864,"7",70001,"RIKEN cDNA 1700028B04 gene"
"1700028D13Rik",500712254,"5",75569,"RIKEN cDNA 1700028D13 gene"
"1700028E10Rik",500713224,"5",625175,"RIKEN cDNA 1700028E10 gene"
"1700028I16Rik",500725349,"10",70003,"RIKEN cDNA 1700028I16 gene"
"1700028J19Rik",500717370,"7",70004,"RIKEN cDNA 1700028J19 gene"
"1700028K03Rik",500712118,"5",76421,"RIKEN cDNA 1700028K03 gene"
"1700028M03Rik",500706707,"3",69460,"RIKEN cDNA 1700028M03 gene"
"1700028P14Rik",500742125,"19",67483,"RIKEN cDNA 1700028P14 gene"
"1700028P15Rik",500705584,"2",75655,"RIKEN cDNA 1700028P15 gene"
"1700029B22Rik",500719197,"7",69495,"RIKEN cDNA 1700029B22 gene"
"1700029F12Rik",500732690,"13",66479,"RIKEN cDNA 1700029F12 gene"
"1700029H14Rik",500719739,"8",66501,"RIKEN cDNA 1700029H14 gene"
"1700029I15Rik",500704077,"2",75641,"RIKEN cDNA 1700029I15 gene"
"1700029J03Rik",500738120,"16",72264,"RIKEN cDNA 1700029J03 gene"
"1700029J07Rik",500720280,"8",69479,"RIKEN cDNA 1700029J07 gene"
"1700029M03Rik",500701756,"1",69476,"RIKEN cDNA 1700029M03 gene"
"1700029M20Rik",500710093,"4",73937,"RIKEN cDNA 1700029M20 gene"
"1700029N11Rik",500731733,"13",69491,"RIKEN cDNA 1700029N11 gene"
"1700029P11Rik",500736207,"15",66346,"RIKEN cDNA 1700029P11 gene"
"1700030A11Rik",500738943,"17",74179,"RIKEN cDNA 1700030A11 gene"
"1700030C10Rik",500729242,"12",69513,"RIKEN cDNA 1700030C10 gene"
"1700030C14Rik",500705092,"2",75662,"RIKEN cDNA 1700030C14 gene"
"1700030E10Rik",500724887,"10",69515,"RIKEN cDNA 1700030E10 gene"
"1700030F04Rik",500715111,"6",72263,"RIKEN cDNA 1700030F04 gene"
"1700030F18Rik",500736662,"15",72277,"RIKEN cDNA 1700030F18 gene"
"1700030J22Rik",500721457,"8",69528,"RIKEN cDNA 1700030J22 gene"
"1700030K09Rik",500720673,"8",72254,"RIKEN cDNA 1700030K09 gene"
"1700030L20Rik",500707790,"3",70055,"RIKEN cDNA 1700030L20 gene"
"1700030L22Rik",500729607,"12",75576,"RIKEN cDNA 1700030L22 gene"
"1700030M09Rik",500721540,"8",72259,"RIKEN cDNA 1700030M09 gene"
"1700030N03Rik",500741494,"19",70011,"RIKEN cDNA 1700030N03 gene"
"1700030O20Rik",500725782,"10",72286,"RIKEN cDNA 1700030O20 gene"
"1700031A10Rik",500739343,"17",73286,"RIKEN cDNA 1700031A10 gene"
"1700031F05Rik",500744239,"X",73300,"RIKEN cDNA 1700031F05 gene"
"1700031L13Rik",500711685,"5",67327,"RIKEN cDNA 1700031L13 gene"
"1700031M16Rik",500736573,"15",73302,"RIKEN cDNA 1700031M16 gene"
"1700031P21Rik",500729601,"12",73278,"RIKEN cDNA 1700031P21 gene"
"1700034B16Rik",500741322,"18",73282,"RIKEN cDNA 1700034B16 gene"
"1700034E13Rik",500740959,"18",78414,"RIKEN cDNA 1700034E13 gene"
"1700034G24Rik",500712271,"5",67325,"RIKEN cDNA 1700034G24 gene"
"1700034H15Rik",500702278,"1",98736,"RIKEN cDNA 1700034H15 gene"
"1700034I23Rik",500706271,"3",73297,"RIKEN cDNA 1700034I23 gene"
